datetime,pm1,pm25,relativehumidity,temperature,um003
2026-04-01 00:00:00+07:00,19.9,32.4,44.0,25.7,3939.0
2026-04-01 01:00:00+07:00,17.5,28.3,50.0,26.4,3403.0
2026-04-01 02:00:00+07:00,15.7,25.8,54.0,26.6,3045.0
2026-04-01 03:00:00+07:00,14.3,23.4,58.0,26.5,2787.0
2026-04-01 04:00:00+07:00,13.4,21.7,59.0,26.3,2618.0
2026-04-01 05:00:00+07:00,12.4,20.2,61.0,26.1,2468.0
2026-04-01 06:00:00+07:00,11.6,19.1,61.0,25.8,2329.0
2026-04-01 07:00:00+07:00,10.8,17.6,62.0,25.7,2193.0
2026-04-01 08:00:00+07:00,10.1,16.5,61.0,25.8,2069.0
2026-04-01 09:00:00+07:00,9.5,15.6,60.0,26.0,1962.0
2026-04-01 10:00:00+07:00,10.4,17.7,62.0,26.6,2110.0
2026-04-01 11:00:00+07:00,18.8,30.5,45.0,27.5,3680.0
2026-04-01 12:00:00+07:00,16.2,26.5,46.0,28.0,3166.0
2026-04-01 13:00:00+07:00,19.8,32.6,45.0,27.6,4044.0
2026-04-01 14:00:00+07:00,21.1,35.3,41.0,27.0,4300.0
2026-04-01 15:00:00+07:00,16.1,27.3,51.0,27.9,3121.0
2026-04-01 16:00:00+07:00,14.2,24.7,54.0,28.1,2819.0
2026-04-01 17:00:00+07:00,13.4,22.9,55.0,28.2,2654.0
2026-04-01 18:00:00+07:00,14.5,24.7,52.0,28.1,2849.0
2026-04-01 19:00:00+07:00,18.5,31.2,41.0,27.4,3727.0
2026-04-01 20:00:00+07:00,27.0,52.4,45.0,27.1,6597.0
2026-04-01 21:00:00+07:00,23.9,44.5,49.0,26.9,5390.0
2026-04-01 22:00:00+07:00,23.0,41.0,48.0,26.6,4980.0
2026-04-01 23:00:00+07:00,24.6,39.9,41.0,25.6,5358.0
2026-04-02 00:00:00+07:00,21.1,34.1,48.0,26.5,4288.0
2026-04-02 01:00:00+07:00,18.5,30.4,57.0,26.5,3595.0
