datetime,pm1,pm25,relativehumidity,temperature,um003,hour_sin,hour_cos,dow_sin,dow_cos,is_weekend,rush_hour_pagi,rush_hour_sore,pm25_lag_1h,pm25_lag_2h,pm25_lag_3h,pm25_lag_6h,pm25_lag_12h,pm25_lag_24h,pm1_lag_1h,pm1_lag_3h,temperature_lag_1h,temperature_lag_3h,relativehumidity_lag_1h,relativehumidity_lag_3h,um003_lag_1h,um003_lag_3h,pm25_rolling_mean_3h,pm25_rolling_std_3h,pm25_rolling_mean_6h,pm25_rolling_std_6h,pm25_rolling_mean_12h,pm25_rolling_std_12h,pm25_rolling_mean_24h,pm25_rolling_std_24h,pm25_rolling_min_24h,pm25_rolling_max_24h,pm25_diff_1h,pm25_diff_3h,temperature_diff_1h,humidity_diff_1h,pm1_pm25_ratio
2025-10-11 15:00:00,10.917307899548458,18.18076924177317,62.7423070027278,29.15384560364943,2242.846153846154,-0.7071067811865471,-0.7071067811865479,-0.9749279121818236,-0.2225209339563146,1,0,0,19.38461540295528,20.58846156413739,21.7923077253195,28.799999237060547,37.58333375718858,45.56296355636031,11.678846395932712,13.20192338870122,29.585576387552116,30.449037955357475,63.54134544959435,65.13942234332745,2381.076923076923,2657.538461538461,20.588461564137383,1.2038461611820888,22.96025631060968,3.3291312000090305,31.27237355216616,9.730728419112404,35.61465983397996,13.341525353964492,17.48499999046326,68.28888871934679,-1.2038461611821134,-3.611538483546333,-0.4317307839026796,-0.7990384468665539,0.6004865445394734
2025-10-11 16:00:00,10.155769403164204,16.976923080591057,61.94326855586125,28.72211481974675,2104.6153846153848,-0.8660254037844385,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,1,0,1,18.18076924177317,19.38461540295528,20.58846156413739,24.20000004768372,34.583333333333336,45.19999923706055,10.917307899548458,12.440384892316969,29.15384560364943,30.017307171454792,62.7423070027278,64.3403838964609,2242.846153846154,2519.3076923076924,19.38461540295528,1.203846161182088,21.190384644728443,2.25218994076321,29.655493175881546,10.187996904234868,34.47373507087216,13.62166695153677,17.48499999046326,68.28888871934679,-1.2038461611821063,-3.6115384835463296,-0.4317307839026831,-0.7990384468665539,0.5982102149337424
2025-10-11 23:00:00,4.824999928474426,8.549999952316284,56.34999942779541,25.69999933242798,1137.0,-0.2588190451025215,0.965925826289068,-0.9749279121818236,-0.2225209339563146,1,0,0,16.976923080591057,18.18076924177317,19.38461540295528,22.99615388650161,35.24444389343262,38.0722221798367,10.155769403164204,11.678846395932712,28.72211481974675,29.585576387552116,61.94326855586125,63.54134544959435,2104.6153846153848,2381.076923076923,18.180769241773167,1.203846161182091,19.986538483546337,2.2521899407632096,28.188292321486355,10.670172874998263,33.2977735643526,13.8713688207234,16.976923080591057,68.28888871934679,-1.2038461611821134,-3.611538483546333,-0.4317307839026796,-0.7990384468665468,0.5643274141586246
2025-10-12 00:00:00,4.575000087420146,8.183333396911621,59.89166673024496,25.16666642824809,1087.5,0.0,1.0,-0.7818314824680299,0.6234898018587334,1,0,0,8.549999952316284,16.976923080591057,18.18076924177317,21.7923077253195,36.71666653951009,62.94166628519694,4.824999928474426,10.917307899548458,25.69999933242798,29.15384560364943,56.34999942779541,62.7423070027278,1137.0,2242.846153846154,14.569230758226835,5.247443760162195,17.578846161182113,4.739547076123396,25.96375532639333,11.789320880533865,32.06768097153925,14.7130287580025,8.549999952316284,68.28888871934679,-8.426923128274773,-10.834615450638992,-3.0221154873187714,-5.593269128065842,0.5590630744781424
2025-10-12 01:00:00,5.045454523780129,8.84545460614291,71.75909146395597,26.872727394104004,1190.1818181818182,0.2588190451025207,0.9659258262890684,-0.7818314824680299,0.6234898018587334,1,0,0,8.183333396911621,8.549999952316284,16.976923080591057,20.58846156413739,46.74166742960612,68.28888871934679,4.575000087420146,10.155769403164204,25.16666642824809,28.72211481974675,59.89166673024496,61.94326855586125,1087.5,2104.6153846153848,11.236752143272986,4.974513331265314,15.310683773114135,5.513103853060964,23.58597756451012,12.290207981376714,29.78608376786069,13.942750307408874,8.183333396911621,68.28888871934679,-0.3666665554046631,-9.997435844861547,-0.5333329041798898,3.541667302449546,0.5704007513503554
2025-10-12 02:00:00,4.486363671042702,7.795454588803378,73.71818161010742,27.11818226900968,1094.5454545454545,0.4999999999999999,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,0,0,8.84545460614291,8.183333396911621,8.549999952316284,19.38461540295528,46.63749980926514,28.274999916553497,5.045454523780129,4.824999928474426,26.872727394104004,25.69999933242798,71.75909146395597,56.34999942779541,1190.1818181818182,1137.0,8.526262651790269,0.3316982341009458,13.35351594678172,5.346639782903479,20.42795982922152,10.544112817721937,27.309274013143863,11.941925531486714,8.183333396911621,46.74166742960612,0.6621212092312891,-8.131468474448146,1.7060609658559152,11.867424733711012,0.5755101315035995
2025-10-12 03:00:00,4.045833329359691,7.162499964237213,74.77916653951009,27.15416693687439,1033.0833333333333,0.7071067811865476,0.7071067811865476,-0.7818314824680299,0.6234898018587334,1,0,0,7.795454588803378,8.84545460614291,8.183333396911621,18.18076924177317,28.799999237060547,39.786363038149744,4.486363671042702,4.575000087420146,27.11818226900968,25.16666642824809,73.71818161010742,59.89166673024496,1094.5454545454545,1087.5,8.274747530619301,0.5309354169618121,11.42198914442307,4.797205343114818,17.19112272751637,7.197703521700609,26.45595962448761,12.584326855767424,7.795454588803378,46.74166742960612,-1.0500000173395323,-0.7545453635129062,0.2454548749056755,1.9590901461514532,0.5648632160136206
2025-10-12 04:00:00,4.387499978144963,7.449999928474426,75.80416679382324,27.20416696866353,1068.125,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,1,0,0,7.162499964237213,7.795454588803378,8.84545460614291,16.976923080591057,24.20000004768372,17.48499999046326,4.045833329359691,5.045454523780129,27.15416693687439,26.872727394104004,74.77916653951009,71.75909146395597,1033.0833333333333,1190.1818181818182,7.934469719727832,0.8500458732606476,9.58561093150041,3.668632593936035,15.387997788114427,6.719499724333581,25.09663199640792,12.84115819572198,7.162499964237213,46.74166742960612,-0.6329546245661648,-1.020833432674408,0.0359846678647102,1.0609849294026643,0.5889260981667305
2025-10-12 05:00:00,4.754166662693024,7.812499980131785,76.87083307902019,27.208333730697632,1136.2916666666667,0.9659258262890684,0.2588190451025207,-0.7818314824680299,0.6234898018587334,1,0,0,7.449999928474426,7.162499964237213,7.795454588803378,8.549999952316284,22.99615388650161,19.839999961853028,4.387499978144963,4.486363671042702,27.20416696866353,27.11818226900968,75.80416679382324,73.71818161010742,1068.125,1094.5454545454545,7.469318160505003,0.3169192085635278,7.997790406147639,0.6475523906234157,13.992164444846985,6.457192322092395,24.678506993825053,13.256440116106466,7.162499964237213,46.74166742960612,0.2874999642372131,-1.395454677668484,0.0500000317891391,1.0250002543131558,0.6085332564800303
2025-10-12 06:00:00,5.170833329359691,8.379166662693024,76.8541669845581,27.17083390553792,1213.1666666666667,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,1,1,0,7.812499980131785,7.449999928474426,7.162499964237213,8.183333396911621,21.7923077253195,28.131250143051147,4.754166662693024,4.045833329359691,27.208333730697632,27.15416693687439,76.87083307902019,74.77916653951009,1136.2916666666667,1033.0833333333333,7.474999957614473,0.3257203651270628,7.874873744116889,0.5891292926472363,12.726859952649503,6.004189000301166,24.177361161253334,13.668254580675328,7.162499964237213,46.74166742960612,0.3625000516573591,0.0170453913284074,0.004166762034103,1.0666662851969448,0.6171058436247844
